@RELATION HeaderDataClassification

@ATTRIBUTE CellNum		NUMERIC
@ATTRIBUTE AvgCellLen		NUMERIC
@ATTRIBUTE CharNum		NUMERIC
@ATTRIBUTE DigitChRatio		NUMERIC
@ATTRIBUTE AlphaChRatio		NUMERIC
@ATTRIBUTE SymbolChRatio	NUMERIC
@ATTRIBUTE FontSize		NUMERIC
@ATTRIBUTE FontBold		NUMERIC
@ATTRIBUTE FontItalic		NUMERIC
@ATTRIBUTE NumCellRatio		NUMERIC
@ATTRIBUTE CellNumRatio		NUMERIC
@ATTRIBUTE class	{HeaderDataClassification-0, HeaderDataClassification-1}

@DATA
13,	9,	125,	0.0,	0.90,	0.09,	1.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
13,	20,	264,	0.0,	0.44,	0.08,	1.07,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
17,	9,	153,	0.00,	0.88,	0.11,	1.0,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-1
17,	18,	314,	0.0,	0.45,	0.05,	1.05,	0.0,	0.0,	0.0,	0.13,	HeaderDataClassification-0
13,	33,	432,	0.00,	0.24,	0.03,	1.08,	0.0,	0.0,	0.0,	0.13,	HeaderDataClassification-0
20,	29,	594,	0.99,	0.00,	0.0,	1.0,	0.95,	0.0,	0.95,	0.02,	HeaderDataClassification-1
19,	37,	709,	0.0,	0.10,	0.05,	1.05,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-0
20,	65,	1304,	0.45,	0.00,	0.0,	1.05,	0.95,	0.0,	0.95,	0.02,	HeaderDataClassification-0
19,	74,	1417,	0.0,	0.05,	0.02,	1.05,	0.0,	0.0,	0.0,	0.02,	HeaderDataClassification-0
8,	5,	43,	0.09,	0.86,	0.04,	9.96,	0.0,	0.0,	0.12,	0.0,	HeaderDataClassification-1
8,	14,	117,	0.11,	0.33,	0.17,	11.2,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
8,	23,	188,	0.07,	0.19,	0.11,	11.3,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
8,	32,	260,	0.05,	0.14,	0.08,	11.3,	0.0,	0.0,	0.0,	0.0,	HeaderDataClassification-0
9,	9,	83,	0.0,	0.84,	0.15,	1.0,	0.11,	0.11,	0.11,	0.5,	HeaderDataClassification-1
